row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,5,12,17,23,27,30,114,35,25,39,15,40,7,5,6,4,3,4
1_2,6,10,16,21,28,30,111,36,24,38,18,37,4,6,5,7,2,6
1_3,3,7,11,15,20,26,82,29,23,27,13,26,4,4,4,5,6,7
1_4,4,8,13,18,23,27,93,31,23,31,15,31,4,5,5,5,4,7
1_5,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,8
1_6,1,5,10,12,17,25,70,26,24,22,12,22,4,5,2,5,8,14
1_7,1,5,14,14,18,24,76,25,23,23,13,28,4,9,0,4,6,12
1_8,1,7,14,14,19,28,83,29,27,26,12,28,6,7,0,5,9,12
1_9,0,7,13,14,21,26,81,26,26,28,14,27,7,6,1,7,5,11
1_10,2,10,15,17,23,28,95,30,26,33,13,32,8,5,2,6,5,12
2_1,5,9,16,22,25,29,106,34,24,34,16,38,4,7,6,3,4,7
2_2,6,8,18,19,26,30,107,36,24,34,18,37,2,10,1,7,4,9
2_3,3,7,13,17,20,26,86,29,23,27,13,30,4,6,4,3,6,7
2_4,4,8,13,19,23,28,95,32,24,31,15,32,4,5,6,4,5,8
2_5,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,8
2_6,4,8,11,16,25,31,95,35,27,33,17,27,4,3,5,9,6,10
2_7,4,6,11,15,20,30,86,34,26,26,14,26,2,5,4,5,10,9
2_8,4,7,16,19,24,30,100,34,26,31,17,35,3,9,3,5,6,8
2_9,2,6,11,14,22,28,83,30,26,28,16,25,4,5,3,8,6,10
2_10,5,10,15,17,26,31,104,36,26,36,16,32,5,5,2,9,5,8
3_1,2,7,12,20,26,31,98,33,29,33,19,32,5,5,8,6,5,12
3_2,9,12,18,23,27,28,117,37,19,39,15,41,3,6,5,4,1,8
3_3,4,7,13,18,21,24,87,28,20,28,14,31,3,6,5,3,3,8
3_4,3,8,12,18,23,27,91,30,24,31,15,30,5,4,6,5,4,8
3_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
3_6,2,7,12,16,25,28,90,30,26,32,18,28,5,5,4,9,3,9
3_7,2,7,13,15,20,25,82,27,23,27,13,28,5,6,2,5,5,7
3_8,2,9,17,16,19,27,90,29,25,28,10,33,7,8,-1,3,8,9
3_9,2,9,14,14,19,25,83,27,23,28,10,28,7,5,0,5,6,9
3_10,2,9,15,17,21,26,90,28,24,30,12,32,7,6,2,4,5,12
4_1,1,7,13,19,27,29,96,30,28,34,20,32,6,6,6,8,2,9
4_2,7,12,18,22,25,29,113,36,22,37,13,40,5,6,4,3,4,8
4_3,3,7,12,18,21,26,87,29,23,28,14,30,4,5,6,3,5,8
4_4,3,8,12,18,23,28,92,31,25,31,15,30,5,4,6,5,5,8
4_5,4,9,13,19,24,28,97,32,24,33,15,32,5,4,6,5,4,8
4_6,4,8,14,15,20,25,86,29,21,28,12,29,4,6,1,5,5,12
