Date,contain10_1,contain10_2,aver_row1,aver_row2,aver_ball1,aver_ball2,same_level,all1_red_count,all1_count,less_order
20160515,False,False,0,0,0,0,0,0,0,0
20160517,False,False,0,0,0,0,0,0,0,0
20160519,False,False,0,0,0,0,0,0,0,0
20160522,False,False,0,0,0,0,0,0,0,0
20160524,False,False,0,0,0,0,0,0,0,0
20160526,False,False,0,0,0,0,0,0,0,0
20160529,False,False,0,0,0,0,0,0,0,0
20160531,False,False,0,0,0,0,0,0,0,0
20160602,False,False,0,0,0,0,0,0,0,0
20160605,False,False,0,0,0,0,0,0,0,0
20160607,False,False,0,0,0,0,0,0,0,0
20160609,False,False,0,0,0,0,0,0,0,0
20160612,False,False,0,0,0,0,0,0,0,0
20160614,False,False,0,0,0,0,0,0,0,0
20160616,False,False,0,0,0,0,0,0,0,0
20160619,False,False,0,0,0,0,0,0,0,0
20160621,False,False,0,0,0,0,0,0,0,0
20160623,False,False,0,0,0,0,0,0,0,0
20160626,False,False,0,0,0,0,0,0,0,0
20160628,False,False,0,0,0,0,0,0,0,0
20160630,False,False,0,0,0,0,0,0,0,0
20160703,False,False,0,0,0,0,0,0,0,0
20160705,False,False,0,0,0,0,0,0,0,0
20160707,False,False,0,0,0,0,0,0,0,0
20160710,False,False,0,0,0,0,0,0,0,0
20160712,False,False,0,0,0,0,0,0,0,0
20160714,False,False,0,0,0,0,0,0,0,0
20160717,False,False,0,0,0,0,0,0,0,0
20160719,False,False,0,0,0,0,0,0,0,0
20160721,False,False,0,0,0,0,0,0,0,0
20160724,False,False,0,0,0,0,0,0,0,0
20160726,False,False,0,0,0,0,0,0,0,0
20160728,False,False,0,0,0,0,0,0,0,0
20160731,False,False,0,0,0,0,0,0,0,0
20160802,False,False,0,0,0,0,0,0,0,0
20160804,False,False,0,0,0,0,0,0,0,0
20160807,False,False,0,0,0,0,0,0,0,0
20160809,False,False,0,0,0,0,0,0,0,0
20160811,False,False,0,0,0,0,0,0,0,0
20160814,False,False,0,0,0,0,0,0,0,0
20160816,False,False,0,0,0,0,0,0,0,0
20160818,False,False,0,0,0,0,0,0,0,0
20160821,False,False,0,0,0,0,0,0,0,0
20160823,False,False,0,0,0,0,0,0,0,0
20160825,False,False,0,0,0,0,0,0,0,0
20160828,False,False,0,0,0,0,0,0,0,0
20160830,False,False,0,0,0,0,0,0,0,0
20160901,False,False,0,0,0,0,0,0,0,0
20160904,False,False,0,0,0,0,0,0,0,0
20160906,True,False,0,0,0,0,1,2,14,0
20160908,False,False,0,0,0,0,1,4,8,0
20160911,True,True,0,0,0,0,1,3,12,0
20160913,False,False,0,0,0,0,0,1,2,0
20160915,False,True,0,0,0,0,1,2,5,0
20160918,True,True,0,0,0,0,1,3,4,0
20160920,False,True,0,0,0,0,0,1,6,0
20160922,True,True,0,0,0,0,1,5,14,0
20160925,True,True,0,0,0,0,1,5,11,0
20160927,False,False,0,0,0,0,0,4,5,0
20160929,True,False,0,0,0,0,1,2,11,0
20161002,False,False,0,0,0,0,0,2,4,0
20161004,False,False,0,0,0,0,0,0,0,0
20161006,True,True,0,0,0,0,0,3,9,0
20161009,False,False,0,0,0,0,0,1,2,0
20161011,False,False,0,0,0,0,0,1,4,0
20161013,True,True,0,0,0,0,0,2,11,0
20161016,False,True,0,0,0,0,1,4,9,0
20161018,True,True,0,0,0,0,1,3,10,0
20161020,True,True,0,0,0,0,1,6,13,0
20161023,False,False,0,0,0,0,0,1,4,0
20161025,False,False,0,0,0,0,0,0,0,0
20161027,False,True,0,0,0,0,1,3,4,0
20161030,True,True,0,0,0,0,1,3,11,0
20161101,True,True,0,0,0,0,1,3,18,0
20161103,True,False,0,0,0,0,0,3,11,0
20161106,True,True,0,0,0,0,1,4,11,0
20161108,True,True,0,0,0,0,0,1,9,0
20161110,True,False,0,0,0,0,1,5,9,0
20161113,False,False,0,0,0,0,0,2,2,0
20161115,True,True,0,0,0,0,0,2,4,0
20161117,False,False,0,0,0,0,0,3,5,0
20161120,True,True,0,0,0,0,1,3,7,0
20161122,False,True,0,0,0,0,0,2,5,0
20161124,True,False,0,0,0,0,0,4,8,0
20161127,True,True,0,0,0,0,1,3,9,0
20161129,False,False,0,0,0,0,0,1,8,0
20161201,True,True,0,0,0,0,0,4,9,0
20161204,False,False,0,0,0,0,0,3,4,0
20161206,True,True,0,0,0,0,1,2,9,0
20161208,False,True,0,0,0,0,1,3,9,0
20161211,False,False,0,0,0,0,0,3,7,0
20161213,False,True,0,0,0,0,0,1,1,0
20161215,False,False,0,0,0,0,0,3,3,0
20161218,False,False,0,0,0,0,0,2,2,0
20161220,False,False,0,0,0,0,0,1,3,0
20161222,True,True,0,0,0,0,1,6,17,0
20161225,False,False,0,0,0,0,0,1,2,0
20161227,True,True,0,0,0,0,1,3,13,0
20161229,False,True,0,0,0,0,1,4,11,0
20170101,True,True,0,0,0,0,1,3,12,0
20170103,True,True,0,0,0,0,0,3,4,0
20170105,False,True,0,0,0,0,1,2,8,0
20170108,False,False,0,0,0,0,0,1,1,0
20170110,False,False,0,0,0,0,0,2,2,0
20170112,True,True,0,0,0,0,1,4,14,0
20170115,True,True,0,0,0,0,1,3,9,0
20170117,True,True,0,0,0,0,0,2,6,0
20170119,True,True,0,0,0,0,1,3,6,0
20170122,True,True,0,0,0,0,1,3,10,0
20170124,True,True,0,0,0,0,1,5,13,0
20170126,True,True,0,0,0,0,1,4,7,0
20170205,True,True,0,0,0,0,1,3,10,0
20170207,False,False,0,0,0,0,0,1,2,0
20170209,True,True,0,0,0,0,1,4,13,0
20170212,True,True,0,0,0,0,1,4,13,0
20170214,False,False,0,0,0,0,0,3,5,0
20170216,True,False,0,0,0,0,1,3,11,0
20170219,True,True,0,0,0,0,1,3,16,0
20170221,False,False,0,0,0,0,1,3,12,0
20170223,False,False,0,0,0,0,0,2,3,0
20170226,False,False,0,0,0,0,0,2,3,0
20170228,True,True,0,0,0,0,0,2,3,0
20170302,True,True,0,0,0,0,1,4,10,0
